data,estado,produto,preco_medio,preco_min,preco_max,n_postos
2024-06-22,AC,gasolina_c,6.93,6.79,7.33,22
2024-06-22,AC,hidratado,4.81,4.59,5.54,11
2024-06-22,AL,gasolina_c,5.96,5.7,6.69,52
2024-06-22,AL,hidratado,4.54,4.39,5.12,51
2024-06-22,AM,gasolina_c,6.33,6.15,7.7,61
2024-06-22,AM,hidratado,4.31,4.27,4.69,35
2024-06-22,AP,gasolina_c,5.69,5.56,5.88,23
2024-06-22,AP,hidratado,4.96,4.96,4.99,2
2024-06-22,BA,gasolina_c,6.16,5.49,6.8,252
2024-06-22,BA,hidratado,4.47,3.39,5.19,247
2024-06-22,CE,gasolina_c,5.79,5.39,6.49,166
2024-06-22,CE,hidratado,4.61,4.29,5.75,145
2024-06-22,DF,gasolina_c,5.88,5.67,6.74,48
2024-06-22,DF,hidratado,3.85,3.62,4.19,27
2024-06-22,ES,gasolina_c,5.93,5.55,6.69,105
2024-06-22,ES,hidratado,4.17,3.89,4.89,67
2024-06-22,GO,gasolina_c,5.86,5.39,6.12,205
2024-06-22,GO,hidratado,3.88,3.49,3.99,206
2024-06-22,MA,gasolina_c,5.67,5.21,6.65,119
2024-06-22,MA,hidratado,4.4,4.18,5.45,62
2024-06-22,MG,gasolina_c,5.87,5.19,6.54,527
2024-06-22,MG,hidratado,4.0,2.99,4.89,515
2024-06-22,MS,gasolina_c,5.66,5.29,6.89,73
2024-06-22,MS,hidratado,3.63,3.35,4.77,50
2024-06-22,MT,gasolina_c,5.85,5.22,6.61,61
2024-06-22,MT,hidratado,3.55,3.19,3.98,60
2024-06-22,PA,gasolina_c,6.05,5.37,6.74,107
2024-06-22,PA,hidratado,4.58,3.79,5.59,39
2024-06-22,PB,gasolina_c,5.83,5.6,5.99,63
2024-06-22,PB,hidratado,4.32,4.09,4.59,57
2024-06-22,PE,gasolina_c,5.92,5.45,6.49,190
2024-06-22,PE,hidratado,4.62,3.99,5.25,160
2024-06-22,PI,gasolina_c,5.69,5.49,5.98,54
2024-06-22,PI,hidratado,4.11,3.89,4.71,40
2024-06-22,PR,gasolina_c,6.04,5.09,6.51,264
2024-06-22,PR,hidratado,3.96,3.39,4.49,267
2024-06-22,RJ,gasolina_c,5.77,5.25,7.59,352
2024-06-22,RJ,hidratado,4.13,3.74,4.99,322
2024-06-22,RN,gasolina_c,6.17,5.99,6.49,49
2024-06-22,RN,hidratado,4.76,4.49,5.59,44
2024-06-22,RO,gasolina_c,6.4,5.85,7.09,53
2024-06-22,RO,hidratado,4.81,4.41,5.24,24
2024-06-22,RR,gasolina_c,6.14,6.14,6.18,17
2024-06-22,RR,hidratado,4.81,4.79,4.87,4
2024-06-22,RS,gasolina_c,5.88,5.45,6.97,342
2024-06-22,RS,hidratado,4.54,3.99,5.93,132
2024-06-22,SC,gasolina_c,5.93,5.41,6.46,206
2024-06-22,SC,hidratado,4.25,3.89,5.79,122
2024-06-22,SE,gasolina_c,6.3,6.15,6.39,33
2024-06-22,SE,hidratado,4.8,4.65,4.89,19
2024-06-22,SP,gasolina_c,5.64,4.59,7.97,1274
2024-06-22,SP,hidratado,3.64,2.98,5.49,1255
2024-06-22,TO,gasolina_c,6.04,5.49,6.19,50
2024-06-22,TO,hidratado,4.33,3.89,4.99,39
2024-06-29,AC,gasolina_c,7.04,6.79,7.33,22
2024-06-29,AC,hidratado,4.77,4.59,5.54,13
2024-06-29,AL,gasolina_c,5.98,5.69,6.69,52
2024-06-29,AL,hidratado,4.58,4.29,5.12,51
2024-06-29,AM,gasolina_c,6.32,6.15,7.38,62
2024-06-29,AM,hidratado,4.3,4.27,4.86,38
2024-06-29,AP,gasolina_c,5.61,5.51,5.87,23
2024-06-29,AP,hidratado,4.61,4.56,4.99,3
2024-06-29,BA,gasolina_c,6.1,5.59,6.75,243
2024-06-29,BA,hidratado,4.39,4.1,5.59,242
2024-06-29,CE,gasolina_c,5.77,5.39,6.49,162
2024-06-29,CE,hidratado,4.61,4.29,5.75,145
2024-06-29,DF,gasolina_c,5.86,5.64,5.99,49
2024-06-29,DF,hidratado,3.86,3.59,3.99,28
2024-06-29,ES,gasolina_c,5.93,5.59,6.69,106
2024-06-29,ES,hidratado,4.16,3.79,4.99,73
2024-06-29,GO,gasolina_c,5.86,5.39,6.12,201
2024-06-29,GO,hidratado,3.88,3.49,3.99,206
2024-06-29,MA,gasolina_c,5.69,5.21,6.65,115
2024-06-29,MA,hidratado,4.38,3.99,5.45,59
2024-06-29,MG,gasolina_c,5.87,5.25,6.54,518
2024-06-29,MG,hidratado,3.99,3.38,4.89,509
2024-06-29,MS,gasolina_c,5.66,5.29,6.89,63
2024-06-29,MS,hidratado,3.64,3.35,4.78,43
2024-06-29,MT,gasolina_c,5.9,5.22,6.61,65
2024-06-29,MT,hidratado,3.53,3.29,3.89,62
2024-06-29,PA,gasolina_c,6.01,5.39,6.95,101
2024-06-29,PA,hidratado,4.44,3.89,5.9,35
2024-06-29,PB,gasolina_c,5.82,5.63,5.99,63
2024-06-29,PB,hidratado,4.31,4.09,4.59,56
2024-06-29,PE,gasolina_c,5.87,5.45,6.99,190
2024-06-29,PE,hidratado,4.55,3.99,5.69,166
2024-06-29,PI,gasolina_c,5.67,5.49,5.9,46
2024-06-29,PI,hidratado,4.1,3.89,4.71,34
2024-06-29,PR,gasolina_c,6.05,5.09,6.51,251
2024-06-29,PR,hidratado,3.99,3.39,4.49,254
2024-06-29,RJ,gasolina_c,5.78,5.19,7.59,355
2024-06-29,RJ,hidratado,4.16,3.74,5.45,329
2024-06-29,RN,gasolina_c,6.17,5.84,6.49,47
2024-06-29,RN,hidratado,4.74,4.45,5.59,43
2024-06-29,RO,gasolina_c,6.4,6.18,7.09,55
2024-06-29,RO,hidratado,4.76,4.41,5.24,23
2024-06-29,RR,gasolina_c,6.32,6.14,6.42,17
2024-06-29,RR,hidratado,4.81,4.79,4.87,4
2024-06-29,RS,gasolina_c,5.89,5.49,7.14,331
2024-06-29,RS,hidratado,4.48,3.97,5.99,127
2024-06-29,SC,gasolina_c,5.92,5.41,6.52,196
2024-06-29,SC,hidratado,4.24,3.74,5.79,120
2024-06-29,SE,gasolina_c,6.21,6.15,6.37,24
2024-06-29,SE,hidratado,4.78,4.65,4.89,14
2024-06-29,SP,gasolina_c,5.63,4.59,7.97,1260
2024-06-29,SP,hidratado,3.66,2.99,5.49,1235
2024-06-29,TO,gasolina_c,6.04,5.49,6.19,42
2024-06-29,TO,hidratado,4.33,3.89,4.99,34
2024-07-06,AC,gasolina_c,7.02,6.79,7.33,22
2024-07-06,AC,hidratado,4.81,4.69,5.54,13
2024-07-06,AL,gasolina_c,5.98,5.69,6.69,50
2024-07-06,AL,hidratado,4.59,4.29,5.12,50
2024-07-06,AM,gasolina_c,6.31,6.15,7.4,46
2024-07-06,AM,hidratado,4.3,4.27,4.69,34
2024-07-06,AP,gasolina_c,5.61,5.51,5.87,23
2024-07-06,AP,hidratado,4.61,4.56,4.99,3
2024-07-06,BA,gasolina_c,6.1,5.59,6.75,239
2024-07-06,BA,hidratado,4.36,3.43,5.19,233
2024-07-06,CE,gasolina_c,5.8,5.45,6.49,128
2024-07-06,CE,hidratado,4.66,4.35,5.19,113
2024-07-06,DF,gasolina_c,5.86,5.54,5.99,50
2024-07-06,DF,hidratado,3.87,3.59,4.29,29
2024-07-06,ES,gasolina_c,5.92,5.59,6.69,83
2024-07-06,ES,hidratado,4.16,3.79,4.82,55
2024-07-06,GO,gasolina_c,5.87,5.39,6.19,174
2024-07-06,GO,hidratado,3.89,3.39,4.29,172
2024-07-06,MA,gasolina_c,5.7,5.19,6.65,95
2024-07-06,MA,hidratado,4.39,3.99,5.45,56
2024-07-06,MG,gasolina_c,5.88,5.19,6.54,448
2024-07-06,MG,hidratado,4.05,3.38,4.89,433
2024-07-06,MS,gasolina_c,5.69,5.35,6.89,63
2024-07-06,MS,hidratado,3.68,3.45,4.65,49
2024-07-06,MT,gasolina_c,5.78,5.22,6.39,55
2024-07-06,MT,hidratado,3.65,3.33,3.98,54
2024-07-06,PA,gasolina_c,5.99,5.42,6.74,80
2024-07-06,PA,hidratado,4.51,3.89,5.19,37
2024-07-06,PB,gasolina_c,5.82,5.59,5.99,64
2024-07-06,PB,hidratado,4.33,4.09,4.99,58
2024-07-06,PE,gasolina_c,5.83,5.45,6.99,162
2024-07-06,PE,hidratado,4.51,3.99,5.69,138
2024-07-06,PI,gasolina_c,5.8,5.58,6.09,59
2024-07-06,PI,hidratado,4.19,3.99,4.71,44
2024-07-06,PR,gasolina_c,6.07,5.25,6.29,226
2024-07-06,PR,hidratado,4.02,3.39,4.59,228
2024-07-06,RJ,gasolina_c,5.79,5.19,7.59,303
2024-07-06,RJ,hidratado,4.17,3.69,4.99,278
2024-07-06,RN,gasolina_c,6.17,6.02,6.49,48
2024-07-06,RN,hidratado,4.79,4.45,5.59,48
2024-07-06,RO,gasolina_c,6.48,5.85,6.69,36
2024-07-06,RO,hidratado,4.78,4.41,5.19,15
2024-07-06,RR,gasolina_c,6.3,6.29,6.37,17
2024-07-06,RR,hidratado,4.81,4.79,4.87,3
2024-07-06,RS,gasolina_c,5.91,5.49,6.97,282
2024-07-06,RS,hidratado,4.46,4.06,5.49,106
2024-07-06,SC,gasolina_c,5.86,5.41,6.19,156
2024-07-06,SC,hidratado,4.22,3.85,5.16,90
2024-07-06,SE,gasolina_c,6.15,6.15,6.15,16
2024-07-06,SE,hidratado,4.66,4.65,4.69,5
2024-07-06,SP,gasolina_c,5.62,4.59,7.97,1170
2024-07-06,SP,hidratado,3.68,2.99,5.59,1148
2024-07-06,TO,gasolina_c,6.04,5.49,6.19,42
2024-07-06,TO,hidratado,4.34,3.89,4.99,34
2024-07-13,AC,gasolina_c,7.02,6.79,7.3,21
2024-07-13,AC,hidratado,4.81,4.69,5.54,13
2024-07-13,AL,gasolina_c,6.12,5.78,6.69,52
2024-07-13,AL,hidratado,4.69,4.29,5.12,52
2024-07-13,AM,gasolina_c,6.31,6.15,7.4,54
2024-07-13,AM,hidratado,4.31,4.27,4.69,38
2024-07-13,AP,gasolina_c,5.69,5.51,6.15,23
2024-07-13,AP,hidratado,4.67,4.59,5.09,3
2024-07-13,BA,gasolina_c,6.21,5.72,6.65,218
2024-07-13,BA,hidratado,4.43,4.04,5.59,215
2024-07-13,CE,gasolina_c,5.95,5.29,6.69,118
2024-07-13,CE,hidratado,4.74,4.39,5.29,105
2024-07-13,DF,gasolina_c,5.9,5.62,6.14,49
2024-07-13,DF,hidratado,3.94,3.69,4.29,29
2024-07-13,ES,gasolina_c,6.03,5.49,6.69,85
2024-07-13,ES,hidratado,4.19,3.79,4.82,56
2024-07-13,GO,gasolina_c,5.97,5.59,6.47,178
2024-07-13,GO,hidratado,3.99,3.68,5.89,181
2024-07-13,MA,gasolina_c,5.92,5.59,6.88,107
2024-07-13,MA,hidratado,4.52,4.18,5.57,61
2024-07-13,MG,gasolina_c,6.09,5.24,6.69,447
2024-07-13,MG,hidratado,4.19,3.59,4.99,429
2024-07-13,MS,gasolina_c,6.14,5.88,7.09,39
2024-07-13,MS,hidratado,4.08,3.89,4.97,28
2024-07-13,MT,gasolina_c,5.92,5.22,6.39,71
2024-07-13,MT,hidratado,3.77,3.33,4.29,71
2024-07-13,PA,gasolina_c,6.12,5.62,7.35,83
2024-07-13,PA,hidratado,4.54,3.99,5.48,36
2024-07-13,PB,gasolina_c,5.87,5.75,6.25,65
2024-07-13,PB,hidratado,4.39,4.18,4.79,59
2024-07-13,PE,gasolina_c,5.83,5.45,6.49,161
2024-07-13,PE,hidratado,4.52,3.99,5.19,137
2024-07-13,PI,gasolina_c,5.86,5.63,6.39,59
2024-07-13,PI,hidratado,4.25,4.08,4.99,40
2024-07-13,PR,gasolina_c,6.13,5.29,6.73,219
2024-07-13,PR,hidratado,4.08,3.49,4.89,218
2024-07-13,RJ,gasolina_c,5.86,5.25,7.79,326
2024-07-13,RJ,hidratado,4.22,3.74,5.65,300
2024-07-13,RN,gasolina_c,6.49,5.59,6.79,44
2024-07-13,RN,hidratado,5.31,4.69,5.79,41
2024-07-13,RO,gasolina_c,6.64,5.85,6.99,46
