ano,mes,uf,produto,regiao,vendas_m3
2021,9,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,69591.211
2021,2,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,131012.377
2021,4,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,129211.104
2021,1,DISTRITO FEDERAL,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,12823.0
2021,12,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,65149.477
2021,5,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,125247.716
2021,10,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,68371.927
2021,3,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,119516.335
2021,1,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,139873.746
2021,3,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,74083.263
2021,7,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,71874.003
2021,6,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,71427.257
2021,5,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,73358.76
2021,4,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,74757.74
2021,2,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,73975.41
2021,1,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,76139.624
2021,11,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,55148.581
2021,6,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,117973.017
2021,12,MATO GROSSO DO SUL,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,13155.019
2021,11,MATO GROSSO DO SUL,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,11767.354
2021,8,MATO GROSSO,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,71517.277
2021,7,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,124505.459
2021,9,MINAS GERAIS,ETANOL HIDRATADO,REGIÃO SUDESTE,177987.423
2021,9,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,118476.48
2021,3,ESPÍRITO SANTO,ETANOL HIDRATADO,REGIÃO SUDESTE,7322.546
2021,2,DISTRITO FEDERAL,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,17552.4
2021,4,ESPÍRITO SANTO,ETANOL HIDRATADO,REGIÃO SUDESTE,4734.4
2021,2,ESPÍRITO SANTO,ETANOL HIDRATADO,REGIÃO SUDESTE,4577.9
2021,1,ESPÍRITO SANTO,ETANOL HIDRATADO,REGIÃO SUDESTE,4469.3
2021,12,MINAS GERAIS,ETANOL HIDRATADO,REGIÃO SUDESTE,168196.101
2021,11,MINAS GERAIS,ETANOL HIDRATADO,REGIÃO SUDESTE,139079.418
2021,10,MINAS GERAIS,ETANOL HIDRATADO,REGIÃO SUDESTE,174666.716
2021,8,MINAS GERAIS,ETANOL HIDRATADO,REGIÃO SUDESTE,186646.975
2021,7,MINAS GERAIS,ETANOL HIDRATADO,REGIÃO SUDESTE,191496.949
2021,8,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,122355.197
2021,6,MINAS GERAIS,ETANOL HIDRATADO,REGIÃO SUDESTE,180368.5
2021,4,MINAS GERAIS,ETANOL HIDRATADO,REGIÃO SUDESTE,214483.78
2021,3,MINAS GERAIS,ETANOL HIDRATADO,REGIÃO SUDESTE,209421.8
2021,7,RIO DE JANEIRO,ETANOL HIDRATADO,REGIÃO SUDESTE,50328.227
2021,7,ALAGOAS,ETANOL HIDRATADO,REGIÃO NORDESTE,4509.939
2021,8,MATO GROSSO DO SUL,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,12879.751
2021,10,MATO GROSSO DO SUL,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,13416.812
2021,9,MATO GROSSO DO SUL,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,13248.12
2021,12,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,121344.229
2021,11,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,107989.893
2021,10,GOIÁS,ETANOL HIDRATADO,REGIÃO CENTRO-OESTE,116504.728
