data,vencimento,ajuste,volume,contratos_aberto,fonte_cid
2026-05-22,ETHc1,2400.0,48.0,,964525
2026-05-21,ETHc1,2402.5,94.0,,964525
2026-05-20,ETHc1,2395.0,25.0,,964525
2026-05-19,ETHc1,2377.5,,,964525
2026-05-18,ETHc1,2367.0,,,964525
2026-05-15,ETHc1,2361.5,85.0,,964525
2026-05-14,ETHc1,2330.0,85.0,,964525
2026-05-13,ETHc1,2325.5,172.0,,964525
2026-05-12,ETHc1,2335.5,92.0,,964525
2026-05-11,ETHc1,2355.5,4.0,,964525
2026-05-08,ETHc1,2350.5,2.0,,964525
2026-05-07,ETHc1,2358.0,12.0,,964525
2026-05-06,ETHc1,2370.0,120.0,,964525
2026-05-05,ETHc1,2390.0,50.0,,964525
2026-05-04,ETHc1,2410.0,,,964525
2026-04-29,ETHc1,2539.5,,,964525
2026-04-28,ETHc1,2480.5,,,964525
2026-04-27,ETHc1,2492.5,,,964525
2026-04-25,ETHc1,2500.0,,,964525
2026-04-24,ETHc1,2500.0,,,964525
2026-04-23,ETHc1,2587.5,,,964525
2026-04-22,ETHc1,2625.0,,,964525
2026-04-20,ETHc1,2608.5,,,964525
2026-04-17,ETHc1,2615.0,,,964525
2026-04-16,ETHc1,2656.5,,,964525
2026-04-15,ETHc1,2605.0,,,964525
2026-04-14,ETHc1,2639.5,,,964525
2026-04-13,ETHc1,2675.0,,,964525
2026-04-10,ETHc1,2709.5,,,964525
2026-04-09,ETHc1,2745.0,100.0,,964525
2026-04-08,ETHc1,2833.0,11.0,,964525
2026-04-07,ETHc1,2863.5,15.0,,964525
2026-04-06,ETHc1,2863.0,,,964525
2026-04-02,ETHc1,2860.5,70.0,,964525
2026-04-01,ETHc1,2852.5,70.0,,964525
2026-03-30,ETHc1,3040.0,,,964525
2026-03-28,ETHc1,3040.5,43.0,,964525
2026-03-27,ETHc1,3040.5,43.0,,964525
2026-03-26,ETHc1,3030.0,120.0,,964525
2026-03-25,ETHc1,3024.5,30.0,,964525
2026-03-24,ETHc1,3032.5,3.0,,964525
2026-03-23,ETHc1,3007.0,172.0,,964525
2026-03-21,ETHc1,3019.0,45.0,,964525
2026-03-20,ETHc1,3019.0,45.0,,964525
2026-03-19,ETHc1,3000.0,20.0,,964525
