data,esalq_rs_sc50kg,ny_cont_clb,tela,usd_ptax,ny_equiv_rs_sc50kg
2026-08-14,97.9,16.6,V26,5.2236,102.78
2026-08-13,98.31,16.82,V26,5.1859,103.39
2026-08-12,97.41,16.42,V26,5.1639,100.5
2026-08-11,96.94,16.73,V26,5.1285,101.7
2026-08-10,97.51,16.47,V26,5.0963,99.49
2026-08-07,96.02,16.45,V26,5.0908,99.26
2026-08-06,93.88,15.57,V26,5.1017,94.15
2026-08-05,92.47,15.15,V26,5.1154,91.86
2026-08-04,91.89,15.04,V26,5.1053,91.01
2026-08-03,90.82,15.01,V26,5.0723,90.24
2026-07-31,91.5,14.66,V26,5.0773,88.22
2026-07-30,92.4,14.43,V26,5.0739,86.78
2026-07-29,92.93,14.5,V26,5.1217,88.02
2026-07-28,92.39,14.55,V26,5.1177,88.26
2026-07-27,92.75,14.58,V26,5.1005,88.14
2026-07-24,93.3,14.77,V26,5.0666,88.7
2026-07-23,91.49,14.69,V26,5.0807,88.46
2026-07-22,91.68,14.74,V26,5.0638,88.47
2026-07-21,91.13,14.88,V26,5.078,89.56
2026-07-20,92.23,14.82,V26,5.0894,89.4
2026-07-17,93.56,14.83,V26,5.1176,89.96
2026-07-16,91.15,14.44,V26,5.0975,87.25
2026-07-15,91.58,14.85,V26,5.0727,89.29
2026-07-14,92.11,14.88,V26,5.0742,89.49
2026-07-13,90.72,14.75,V26,5.1183,89.48
2026-07-10,91.21,14.88,V26,5.1088,90.1
2026-07-09,92.21,15.12,V26,5.1329,91.99
2026-07-08,92.21,15.11,V26,5.1552,92.33
2026-07-07,93.87,15.14,V26,5.1458,92.34
2026-07-06,91.94,15.22,V26,5.167,93.21
2026-07-02,92.23,14.85,V26,5.1945,91.43
2026-07-01,91.29,14.99,V26,5.195,92.3
2026-06-30,91.27,14.34,N26,5.1766,87.99
2026-06-29,92.69,14.29,N26,5.1717,87.6
2026-06-26,92.31,13.98,N26,5.1695,85.66
2026-06-25,92.73,13.55,N26,5.1892,83.34
2026-06-24,92.44,13.42,N26,5.2098,82.87
2026-06-23,94.07,13.42,N26,5.1743,82.3
2026-06-22,91.6,13.35,N26,5.1395,81.32
2026-06-18,90.75,13.59,N26,5.1613,83.14
2026-06-17,91.48,13.85,N26,5.0641,83.13
2026-06-16,92.1,13.82,N26,5.078,83.18
2026-06-15,93.63,13.68,N26,5.043,81.77
2026-06-12,92.84,13.7,N26,5.0827,82.53
2026-06-11,92.18,13.79,N26,5.1478,84.14
2026-06-10,92.35,13.92,N26,5.1763,85.4
2026-06-09,92.9,14.08,N26,5.1693,86.27
2026-06-08,91.36,14.12,N26,5.1695,86.52
2026-06-05,93.24,14.14,N26,5.1244,85.88
2026-06-03,93.24,14.24,N26,5.0415,85.09
2026-06-02,93.02,14.38,N26,5.016,85.49
2026-06-01,94.27,14.45,N26,5.0303,86.16
2026-05-29,93.0,14.06,N26,5.0569,84.27
2026-05-28,93.84,13.93,N26,5.0517,83.41
2026-05-27,94.22,14.14,N26,5.0579,84.77
2026-05-26,93.09,14.54,N26,5.0211,86.53
2026-05-22,93.56,14.7,N26,5.014,87.36
2026-05-21,94.08,14.9,N26,5.0077,88.44
2026-05-20,93.25,14.73,N26,5.0301,87.82
2026-05-19,93.96,15.01,N26,5.0378,89.63
2026-05-18,94.7,14.73,N26,5.0093,87.46
2026-05-15,95.04,14.8,N26,5.0654,88.86
2026-05-14,95.23,14.99,N26,4.9809,88.5
2026-05-13,96.52,15.38,N26,4.9118,89.54
2026-05-12,96.3,15.01,N26,4.8977,87.14
2026-05-11,96.6,14.91,N26,4.8973,86.55
2026-05-08,96.59,14.69,N26,4.8999,85.32
2026-05-07,97.83,14.54,N26,4.917,84.74
2026-05-06,97.72,14.81,N26,4.9274,86.5
2026-05-05,97.43,15.37,N26,4.9242,89.71
2026-05-04,97.83,15.29,N26,4.9587,89.87
2026-04-30,97.91,14.58,K26,4.9886,86.21
2026-04-29,99.82,14.68,K26,4.9985,86.97
2026-04-28,97.66,14.11,K26,4.9878,83.42
2026-04-27,98.71,13.83,K26,4.97,81.47
2026-04-24,99.66,13.93,K26,5.0083,82.69
2026-04-23,96.06,13.6,K26,4.9539,79.86
2026-04-22,99.04,13.57,K26,4.9653,79.86
2026-04-20,99.39,13.47,K26,4.9844,79.58
