data,preco_r$_sc50kg,preco_us$
2021-05-19,114.49,21.54
2021-05-20,115.1,21.83
2021-05-21,116.03,21.7
2021-05-24,116.41,21.87
2021-05-25,116.4,21.81
2021-05-26,115.88,21.83
2021-05-27,115.41,21.97
2021-05-28,115.99,22.23
2021-05-31,115.81,22.16
2021-06-01,116.23,22.54
2021-06-02,116.34,22.85
2021-06-04,116.77,23.19
2021-06-07,116.56,23.14
2021-06-08,116.22,23.07
2021-06-09,116.93,23.06
2021-06-10,117.23,23.15
2021-06-11,115.6,22.58
2021-06-14,116.89,23.05
2021-06-15,117.26,23.25
2021-06-16,117.57,23.3
2021-06-17,117.76,23.44
2021-06-18,115.37,22.76
2021-06-21,114.23,22.75
2021-06-22,115.99,23.37
2021-06-23,115.88,23.34
2021-06-24,117.07,23.87
2021-06-25,117.22,23.67
2021-06-28,117.89,23.93
2021-06-29,114.98,23.28
2021-06-30,113.57,22.84
2021-07-01,114.82,22.75
2021-07-02,115.81,22.94
2021-07-05,116.87,22.99
2021-07-06,115.93,22.29
2021-07-07,115.61,22.09
2021-07-08,115.38,21.96
2021-07-12,116.44,22.52
2021-07-13,115.42,22.32
2021-07-14,115.55,22.78
2021-07-15,114.71,22.38
2021-07-16,115.51,22.56
2021-07-19,116.89,22.24
2021-07-20,116.55,22.33
2021-07-21,116.79,22.53
2021-07-22,117.42,22.54
2021-07-23,116.96,22.42
2021-07-26,117.61,22.73
2021-07-27,117.1,22.62
2021-07-28,117.58,22.99
2021-07-29,117.99,23.24
2021-07-30,117.48,22.61
2021-08-02,118.84,23.02
2021-08-03,119.78,23.11
2021-08-04,120.79,23.28
2021-08-05,120.49,23.16
2021-08-06,120.57,23.01
2021-08-09,119.58,22.83
2021-08-10,121.72,23.42
2021-08-11,122.59,23.45
2021-08-12,125.55,23.9
2021-08-13,125.52,23.94
2021-08-16,129.38,24.48
2021-08-17,129.77,24.63
2021-08-18,130.95,24.43
2021-08-19,133.91,24.73
2021-08-20,133.41,24.81
2021-08-23,134.43,25.02
2021-08-24,135.21,25.71
2021-08-25,135.69,26.05
2021-08-26,136.31,25.96
2021-08-27,137.18,26.4
2021-08-30,136.34,26.28
2021-08-31,137.36,26.54
2021-09-01,137.03,26.48
