data,preco_r$_m3,preco_us$
2021-05-19,2995.5,563.59
2021-05-20,2949.5,559.36
2021-05-21,2930.5,547.96
2021-05-24,2894.0,543.78
2021-05-25,2903.0,543.94
2021-05-26,2915.5,549.16
2021-05-27,2953.0,562.15
2021-05-28,3010.0,576.85
2021-05-31,3014.0,576.84
2021-06-01,3081.5,597.65
2021-06-02,3078.5,604.58
2021-06-04,3078.5,611.42
2021-06-07,3085.0,612.47
2021-06-08,3073.0,609.96
2021-06-09,3069.0,605.33
2021-06-10,3058.5,603.97
2021-06-11,3045.5,594.82
2021-06-14,3010.0,593.45
2021-06-15,2966.5,588.24
2021-06-16,2947.5,584.24
2021-06-17,2868.5,570.96
2021-06-18,2868.0,565.68
2021-06-21,2866.5,570.79
2021-06-22,2871.0,578.36
2021-06-23,2866.5,577.34
2021-06-24,2870.5,585.22
2021-06-25,2872.0,579.97
2021-06-28,2874.5,583.54
2021-06-29,2877.0,582.62
2021-06-30,2875.5,578.22
2021-07-01,2875.0,569.53
2021-07-02,2880.5,570.62
2021-07-05,2932.5,576.92
2021-07-06,2960.0,569.23
2021-07-07,2979.5,569.26
2021-07-08,2983.0,567.76
2021-07-12,3005.5,581.33
2021-07-13,3017.0,583.45
2021-07-14,3019.0,595.23
2021-07-15,3035.0,592.2
2021-07-16,3034.0,592.58
2021-07-19,3019.5,574.49
2021-07-20,3002.0,575.21
2021-07-21,2989.0,576.69
2021-07-22,2959.5,568.15
2021-07-23,2954.0,566.23
2021-07-26,2975.5,574.98
2021-07-27,3017.0,582.66
2021-07-28,3024.0,591.32
2021-07-29,3049.5,600.65
2021-07-30,3049.0,586.68
2021-08-02,3062.0,593.07
2021-08-03,3073.5,593.0
2021-08-04,3086.0,594.72
2021-08-05,3117.0,599.08
2021-08-06,3164.0,603.7
2021-08-09,3189.5,608.92
2021-08-10,3195.5,614.76
2021-08-11,3214.0,614.77
2021-08-12,3217.5,612.39
2021-08-13,3216.5,613.48
2021-08-16,3232.5,611.52
2021-08-17,3228.5,612.85
2021-08-18,3225.5,601.77
2021-08-19,3222.0,594.9
2021-08-20,3220.0,598.74
2021-08-23,3215.0,598.47
2021-08-24,3225.5,613.33
2021-08-25,3253.0,624.38
2021-08-26,3264.0,621.71
2021-08-27,3275.0,630.29
2021-08-30,3291.5,634.57
2021-08-31,3282.0,634.2
2021-09-01,3296.5,637.13
2021-09-02,3292.5,635.0
2021-09-03,3297.0,636.0
2021-09-06,3305.5,638.74
2021-09-08,3304.5,621.96
2021-09-09,3303.5,622.48
2021-09-10,3303.0,627.23
2021-09-13,3317.5,634.2
2021-09-14,3316.5,630.39
2021-09-15,3339.5,637.07
2021-09-16,3335.0,632.23
2021-09-17,3350.5,634.2
2021-09-20,3351.0,626.24
2021-09-21,3350.5,634.32
2021-09-22,3346.0,631.2
2021-09-23,3362.5,633.48
2021-09-24,3355.0,627.57
