semana_inicio,preco_hidratado_r$_l,preco_anidro_r$_l
2021-05-21,2.9107,3.412
2021-05-28,2.8783,3.4079
2021-06-04,2.9983,3.4379
2021-06-11,3.0004,3.4448
2021-06-18,2.8753,3.3691
2021-06-25,2.8057,3.2538
2021-07-02,2.8339,3.2467
2021-07-08,2.9235,3.3373
2021-07-16,2.9618,3.3848
2021-07-23,2.9116,3.3988
2021-07-30,2.9675,3.4281
2021-08-06,3.0318,3.4655
2021-08-13,3.1382,3.5733
2021-08-20,3.1806,3.7583
2021-08-27,3.1878,3.7849
2021-09-03,3.2245,3.8188
2021-09-10,3.2365,3.8251
2021-09-17,3.2635,3.8026
2021-09-24,3.2999,3.822
2021-10-01,3.2922,3.8105
2021-10-08,3.3411,3.8432
2021-10-15,3.4292,3.9393
2021-10-22,3.5495,4.0652
2021-10-29,3.828,4.3353
2021-11-05,3.8918,4.5353
2021-11-12,3.8099,4.4299
2021-11-19,3.6563,4.3723
2021-11-26,3.5351,4.1122
2021-12-03,3.4594,4.0002
2021-12-10,3.3202,3.8388
2021-12-17,3.3567,3.8767
2021-12-23,3.3398,3.8309
2021-12-30,3.3349,3.8412
2022-01-07,3.351,3.836
2022-01-14,3.3516,3.8296
2022-01-21,3.3041,3.8282
2022-01-28,3.1648,3.7347
2022-02-04,2.9073,3.4871
2022-02-11,2.8383,3.2064
2022-02-18,2.8825,3.1752
2022-02-25,2.8692,3.2027
2022-03-04,2.9211,3.2217
2022-03-11,3.1606,3.3452
2022-03-18,3.2827,3.6256
2022-03-25,3.2739,3.7647
2022-04-01,3.4135,3.8288
2022-04-08,3.55,3.9774
2022-04-14,3.8366,4.0838
2022-04-22,3.8401,4.2295
2022-04-29,3.4965,4.0663
2022-05-06,3.3198,3.9039
2022-05-13,3.3587,3.8575
2022-05-20,3.3469,3.8811
2022-05-27,3.2486,3.8406
2022-06-03,3.0861,3.6216
2022-06-10,3.084,3.5738
2022-06-17,3.0116,3.527
2022-06-24,3.0644,3.5693
2022-07-01,2.9634,3.5232
2022-07-08,2.9013,3.3986
2022-07-15,2.93,3.4951
2022-07-22,2.9344,3.5198
2022-07-29,2.9426,3.4682
2022-08-05,2.8635,3.3764
2022-08-12,2.8049,3.3786
2022-08-19,2.5902,3.1788
2022-08-26,2.4132,2.9096
2022-09-02,2.3134,2.8778
2022-09-09,2.2275,2.8186
2022-09-16,2.3819,2.8378
2022-09-23,2.4022,2.8415
2022-09-30,2.4999,2.8793
2022-10-07,2.5975,2.9131
2022-10-14,2.7199,3.0416
2022-10-21,2.7211,3.1056
2022-10-28,2.6829,3.074
2022-11-04,2.8722,3.1941
2022-11-11,2.8385,3.2951
2022-11-18,2.8115,3.271
2022-11-25,2.8094,3.2423
2022-12-02,2.7757,3.2311
2022-12-09,2.7155,3.1511
2022-12-16,2.6781,3.1061
2022-12-23,2.8136,3.1888
2022-12-29,2.8893,3.2393
2023-01-06,2.8092,3.2284
2023-01-13,2.5896,3.0829
2023-01-20,2.5597,2.937
2023-01-27,2.6898,2.991
2023-02-03,2.7071,3.0769
2023-02-10,2.6481,3.1318
2023-02-17,2.698,3.0662
2023-02-24,2.7126,3.1173
2023-03-03,2.7548,3.1572
2023-03-10,2.6937,3.1468
2023-03-17,2.6906,3.0941
2023-03-24,2.6827,3.0505
2023-03-31,2.7332,3.0743
2023-04-06,2.8017,3.2076
2023-04-14,2.8953,3.2688
2023-04-20,3.0917,3.4742
2023-04-28,2.9621,3.3547
2023-05-05,2.7664,3.2246
2023-05-12,2.6373,3.0762
2023-05-19,2.4619,2.9376
2023-05-26,2.5282,2.9204
2023-06-02,2.571,2.9644
2023-06-09,2.5309,2.9936
2023-06-16,2.5455,2.993
2023-06-23,2.5128,2.9823
2023-06-30,2.5352,2.9629
2023-07-07,2.2398,2.8631
2023-07-14,2.1882,2.6875
2023-07-21,2.0965,2.6409
2023-07-28,2.1072,2.623
2023-08-04,2.1297,2.5259
2023-08-11,2.0794,2.4654
2023-08-18,2.1556,2.4489
2023-08-25,2.1948,2.5296
2023-09-01,2.2023,2.5236
2023-09-08,2.1969,2.5339
2023-09-15,2.1706,2.5252
2023-09-22,2.1793,2.5077
2023-09-29,2.1796,2.4899
2023-10-06,2.1717,2.5132
2023-10-13,2.1753,2.4366
2023-10-20,2.2172,2.4748
2023-10-27,2.2171,2.4707
2023-11-03,2.2069,2.4541
2023-11-10,2.1857,2.4826
2023-11-17,2.142,2.4702
2023-11-24,2.0877,2.4176
2023-12-01,2.0536,2.3858
2023-12-08,1.9803,2.2954
2023-12-15,1.8588,2.1337
2023-12-22,1.8831,2.1009
2023-12-28,1.9004,2.1093
2024-01-05,1.8741,2.1262
2024-01-12,1.8434,2.0557
2024-01-19,1.9012,2.1067
2024-01-26,2.0359,2.1974
2024-02-02,2.1754,2.3694
2024-02-09,2.165,2.4467
2024-02-16,2.1297,2.3902
2024-02-23,2.1438,2.3701
2024-03-01,2.1222,2.4
2024-03-08,2.0706,2.3596
2024-03-15,2.0644,2.3635
2024-03-22,2.1684,2.4075
2024-03-28,2.2777,2.4696
2024-04-05,2.3444,2.7043
2024-04-12,2.3701,2.6458
2024-04-19,2.4557,2.7548
2024-04-26,2.2981,2.7175
2024-05-03,2.3422,2.653
2024-05-10,2.3496,2.6887
2024-05-17,2.3205,2.6572
2024-05-24,2.2534,2.6231
2024-05-31,2.3076,2.6227
2024-06-07,2.3062,2.617
2024-06-14,2.3378,2.634
2024-06-21,2.4113,2.7204
2024-06-28,2.4665,2.7348
2024-07-05,2.5337,2.9077
2024-07-12,2.6562,3.0809
2024-07-19,2.6564,3.0508
2024-07-26,2.5664,2.9592
2024-08-02,2.6022,2.9441
2024-08-09,2.6332,3.0121
2024-08-16,2.5977,2.9473
2024-08-23,2.5438,2.9342
2024-08-30,2.5561,2.9169
2024-09-06,2.5081,2.9358
2024-09-13,2.4061,2.8551
2024-09-20,2.42,2.7696
2024-09-27,2.4752,2.7763
2024-10-04,2.459,2.7425
2024-10-11,2.5159,2.7572
2024-10-18,2.5518,2.8847
2024-10-25,2.5598,2.8749
2024-11-01,2.6023,2.9151
2024-11-08,2.6025,2.9186
2024-11-14,2.6278,2.8783
2024-11-22,2.6287,2.9157
2024-11-29,2.6215,2.8184
2024-12-06,2.6295,2.9291
2024-12-13,2.6259,2.9481
2024-12-20,2.6318,3.0139
2024-12-27,2.6449,3.0091
2025-01-03,2.6712,3.0339
2025-01-10,2.738,3.1002
2025-01-17,2.7901,3.136
2025-01-24,2.8141,3.2074
2025-01-31,2.8227,3.221
2025-02-07,2.8337,3.2882
2025-02-14,2.8541,3.2604
2025-02-21,2.8503,3.178
2025-02-28,2.8524,3.2556
2025-03-07,2.8406,3.2491
2025-03-14,2.8245,3.2449
2025-03-21,2.7572,3.1906
2025-03-28,2.7314,3.0782
2025-04-04,2.7398,3.1591
2025-04-11,2.746,3.0809
2025-04-17,2.714,3.1508
2025-04-25,2.708,3.0914
2025-05-02,2.7185,3.0994
2025-05-09,2.7236,3.123
2025-05-16,2.708,3.1314
2025-05-23,2.686,3.1067
2025-05-30,2.61,3.0564
2025-06-06,2.5492,2.9448
2025-06-13,2.5404,2.9021
2025-06-20,2.5696,2.9134
2025-06-27,2.6099,2.9962
2025-07-04,2.6055,2.9996
2025-07-11,2.5521,2.9598
2025-07-18,2.5239,2.9204
2025-07-25,2.5448,2.9168
2025-08-01,2.6239,2.9996
2025-08-08,2.6296,3.058
2025-08-15,2.6551,3.0884
2025-08-22,2.683,3.0848
2025-08-29,2.7413,3.1226
2025-09-05,2.7831,3.1838
2025-09-12,2.7813,3.2746
2025-09-19,2.7471,3.2155
2025-09-26,2.7416,3.1184
2025-10-03,2.7264,3.1238
2025-10-10,2.7156,3.1126
2025-10-17,2.7365,3.1079
2025-10-24,2.7527,3.1411
2025-10-31,2.7781,3.1801
2025-11-07,2.7997,3.2094
2025-11-14,2.8236,3.2097
2025-11-21,2.8554,3.2434
2025-11-28,2.8653,3.3004
2025-12-05,2.8853,3.3128
2025-12-12,2.9092,3.3256
2025-12-19,2.9177,3.3074
2025-12-26,2.9296,3.3489
2026-01-02,2.9561,3.3688
2026-01-09,3.0228,3.417
2026-01-16,3.0711,3.4913
2026-01-23,3.0871,3.5377
2026-01-30,3.0885,3.4722
2026-02-06,3.0496,3.49
2026-02-13,3.0203,3.412
2026-02-20,2.9442,3.3544
2026-02-27,2.8462,3.2256
2026-03-06,2.9352,3.2737
2026-03-13,2.9439,3.2731
2026-03-20,2.9609,3.3144
2026-03-27,2.9496,3.3255
2026-04-02,2.8875,3.3095
2026-04-10,2.7873,3.1948
2026-04-17,2.592,2.9575
2026-04-24,2.4512,2.8546
