data,esp_long,esp_short,esp_net,com_long,com_short,com_net,idx_long,idx_short,idx_net,open_interest,produto,fonte
2021-06-22,272686,87774,184912,306823,706900,-400077,288371,73206,215165,1065849,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-06-29,271458,81039,190419,285426,692990,-407564,290553,73408,217145,1045294,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-07-06,293218,70343,222875,289664,735383,-445719,295598,72753,222845,1093942,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-07-13,274916,81362,193554,302119,712178,-410059,288274,71769,216505,1077341,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-07-20,276231,78313,197918,303719,711923,-408204,284314,74028,210286,1075686,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-07-27,305470,79768,225702,308360,751206,-442846,294358,77213,217145,1139810,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-08-03,304033,77077,226956,320468,763739,-443271,300434,84120,216314,1161551,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-08-10,325965,76719,249246,328224,789870,-461646,298273,85874,212399,1212493,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-08-17,334674,78057,256617,359838,817719,-457881,294451,93188,201263,1254203,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-08-24,335332,84537,250795,375070,821337,-446267,295904,100433,195471,1279609,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-08-31,328358,89603,238755,389112,822675,-433563,296470,101663,194807,1290057,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-09-07,319685,88081,231604,397575,812525,-414950,279913,96567,183346,1278236,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-09-14,304638,95179,209459,387898,777396,-389498,282235,102197,180038,1239038,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-09-21,291007,86581,204426,333231,732371,-399140,267648,72933,194715,1101439,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-09-28,290292,83751,206541,285915,684717,-398802,265521,73259,192262,1049261,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-10-05,294509,85450,209059,277998,675932,-397934,265915,77041,188874,1051640,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-10-12,298432,89005,209427,283551,680977,-397426,266858,78859,187999,1064647,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-10-19,272279,113968,158311,281031,626685,-345654,264242,76900,187342,1024918,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-10-26,263558,104422,159136,301970,648139,-346169,265863,78830,187033,1051847,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
2021-11-02,267413,104880,162533,304224,653428,-349204,264227,77556,186671,1059937,SUGAR NO. 11,CFTC COT Supplemental — Futures & Options Combined (4zgm-a668)
