safra,levantamento,unidade_geo,tipo_unidade,produto,metrica,valor
2025/2026,1,NORTE,regiao,cana,area_mil_ha,52.9838
2026/2027,1,NORTE,regiao,cana,area_mil_ha,52.7411
2025/2026,1,NORTE,regiao,cana,produtividade_kg_ha,71490.3856
2026/2027,1,NORTE,regiao,cana,produtividade_kg_ha,78763.3188
2025/2026,1,NORTE,regiao,cana,producao_mil_t,3787.8309
2026/2027,1,NORTE,regiao,cana,producao_mil_t,4154.0626
2025/2026,1,AM,uf,cana,area_mil_ha,3.652
2026/2027,1,AM,uf,cana,area_mil_ha,3.62
2025/2026,1,AM,uf,cana,produtividade_kg_ha,92825.8488
2026/2027,1,AM,uf,cana,produtividade_kg_ha,83701.6575
2025/2026,1,AM,uf,cana,producao_mil_t,339.0
2026/2027,1,AM,uf,cana,producao_mil_t,303.0
2025/2026,1,PA,uf,cana,area_mil_ha,17.7711
2026/2027,1,PA,uf,cana,area_mil_ha,17.7711
2025/2026,1,PA,uf,cana,produtividade_kg_ha,83807.1658
2026/2027,1,PA,uf,cana,produtividade_kg_ha,85082.5241
2025/2026,1,PA,uf,cana,producao_mil_t,1489.3439
2026/2027,1,PA,uf,cana,producao_mil_t,1512.0084
2025/2026,1,TO,uf,cana,area_mil_ha,31.5607
2026/2027,1,TO,uf,cana,area_mil_ha,31.35
2025/2026,1,TO,uf,cana,produtividade_kg_ha,62086.2972
2026/2027,1,TO,uf,cana,produtividade_kg_ha,74610.9776
2025/2026,1,TO,uf,cana,producao_mil_t,1959.487
2026/2027,1,TO,uf,cana,producao_mil_t,2339.0541
2025/2026,1,NORDESTE,regiao,cana,area_mil_ha,889.6915
2026/2027,1,NORDESTE,regiao,cana,area_mil_ha,901.2932
2025/2026,1,NORDESTE,regiao,cana,produtividade_kg_ha,59860.1852
2026/2027,1,NORDESTE,regiao,cana,produtividade_kg_ha,61248.2056
2025/2026,1,NORDESTE,regiao,cana,producao_mil_t,53257.098
2026/2027,1,NORDESTE,regiao,cana,producao_mil_t,55202.5894
2025/2026,1,MA,uf,cana,area_mil_ha,31.196
2026/2027,1,MA,uf,cana,area_mil_ha,31.61
2025/2026,1,MA,uf,cana,produtividade_kg_ha,68330.5873
2026/2027,1,MA,uf,cana,produtividade_kg_ha,71842.899
2025/2026,1,MA,uf,cana,producao_mil_t,2131.641
2026/2027,1,MA,uf,cana,producao_mil_t,2270.954
2025/2026,1,PI,uf,cana,area_mil_ha,20.528
2026/2027,1,PI,uf,cana,area_mil_ha,22.8
2025/2026,1,PI,uf,cana,produtividade_kg_ha,56118.4723
2026/2027,1,PI,uf,cana,produtividade_kg_ha,63171.9273
2025/2026,1,PI,uf,cana,producao_mil_t,1152.0
2026/2027,1,PI,uf,cana,producao_mil_t,1440.3199
2025/2026,1,RN,uf,cana,area_mil_ha,78.637
2026/2027,1,RN,uf,cana,area_mil_ha,81.629
2025/2026,1,RN,uf,cana,produtividade_kg_ha,45733.5097
2026/2027,1,RN,uf,cana,produtividade_kg_ha,47321.5816
