safra,quinzena,quinzena_ord,tipo_secao,regiao,cana_t,acucar_t,etanol_m3,anidro_m3,hidratado_m3,fonte
2025/2026,1ª Abr,1,quinzenal,Brasil,19191564,826564,1064122,226757,837365,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Abr,1,quinzenal,Brasil,23058993,742247,1417339,399463,1017876,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Abr,2,quinzenal,Brasil,17851693,848519,1035986,285084,750902,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Abr,2,quinzenal,Brasil,39677951,1763102,2147957,628566,1519391,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Mai,3,quinzenal,Brasil,42111439,2438177,1803433,626304,1177129,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Mai,3,quinzenal,Brasil,42648750,2115604,2222887,844275,1378612,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Mai,4,quinzenal,Brasil,47657812,2914245,2110907,818427,1292480,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Mai,4,quinzenal,Brasil,41606560,2192552,2185528,809448,1376080,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Jun,5,quinzenal,Brasil,38647789,2389747,1831995,685469,1146526,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Jun,5,quinzenal,Brasil,39867177,2324129,2250875,857400,1393475,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Jun,6,quinzenal,Brasil,44257956,2899380,2031618,779939,1251679,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Jun,6,quinzenal,Brasil,31876415,1622665,1811809,719656,1092153,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Jul,7,quinzenal,Brasil,50264221,3403812,2249336,872017,1377319,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Jul,8,quinzenal,Brasil,51291127,3668965,2413004,940803,1472201,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Ago,9,quinzenal,Brasil,48637743,3637481,2290685,915148,1375537,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Ago,10,quinzenal,Brasil,52228758,3976461,2587449,999837,1587612,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Set,11,quinzenal,Brasil,48274105,3723274,2491576,910786,1580790,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Set,12,quinzenal,Brasil,43762228,3234560,2360423,876833,1483590,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Out,13,quinzenal,Brasil,38965955,2803494,2257524,843005,1414519,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Out,14,quinzenal,Brasil,36626953,2429109,2153446,830492,1322954,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Nov,15,quinzenal,Brasil,24230552,1267940,1564214,616793,947421,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Nov,16,quinzenal,Brasil,20057272,1067324,1365097,478917,886180,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Dez,17,quinzenal,Brasil,10987641,546105,980884,381705,599179,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Dez,18,quinzenal,Brasil,6021925,323582,757811,314673,443138,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Jan,19,quinzenal,Brasil,4613011,282940,625257,285886,339371,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Jan,20,quinzenal,Brasil,4265285,238703,634089,289449,344640,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Fev,21,quinzenal,Brasil,3288659,160357,562096,254616,307480,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Fev,22,quinzenal,Brasil,2297429,129603,472416,203816,268600,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Mar,23,quinzenal,Brasil,2504855,84998,537012,220481,316531,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Mar,24,quinzenal,Brasil,5781009,139392,739543,271343,468200,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Abr,1,acumulado,Brasil,19191564,826564,1064122,226757,837365,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Abr,1,acumulado,Brasil,23058993,742247,1417339,399463,1017876,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Abr,2,acumulado,Brasil,37043257,1675083,2100108,511841,1588267,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Abr,2,acumulado,Brasil,62736944,2505349,3565296,1028029,2537267,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Mai,3,acumulado,Brasil,79154696,4113260,3903541,1138145,2765396,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Mai,3,acumulado,Brasil,105385694,4620953,5788183,1872304,3915879,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Mai,4,acumulado,Brasil,126812508,7027505,6014448,1956572,4057876,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Mai,4,acumulado,Brasil,146992254,6813505,7973711,2681752,5291959,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Jun,5,acumulado,Brasil,165460297,9417252,7846443,2642041,5204402,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,1ª Jun,5,acumulado,Brasil,186859431,9137634,10224586,3539152,6685434,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,2ª Jun,6,acumulado,Brasil,209718253,12316632,9878061,3421980,6456081,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2026/2027,2ª Jun,6,acumulado,Brasil,218735846,10760299,12036395,4258808,7777587,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
2025/2026,1ª Jul,7,acumulado,Brasil,259982474,15720444,12127397,4293997,7833400,MAPA/SPA — Análise Comparativa do Desempenho das Safras (Brasil)
