data,venda,compra
2021-05-19,5.2822,5.2816
2021-05-20,5.2905,5.2899
2021-05-21,5.3027,5.3021
2021-05-24,5.3198,5.3192
2021-05-25,5.3143,5.3137
2021-05-26,5.3164,5.3158
2021-05-27,5.284,5.2833
2021-05-28,5.2281,5.2274
2021-05-31,5.2322,5.2316
2021-06-01,5.1636,5.163
2021-06-02,5.1147,5.114
2021-06-04,5.0666,5.0661
2021-06-07,5.0498,5.0492
2021-06-08,5.0489,5.0483
2021-06-09,5.0533,5.0527
2021-06-10,5.0635,5.0629
2021-06-11,5.119,5.1184
2021-06-14,5.0707,5.0701
2021-06-15,5.0874,5.0868
2021-06-16,5.0207,5.0201
2021-06-17,5.0359,5.0353
2021-06-18,5.0314,5.0308
2021-06-21,5.0373,5.0367
2021-06-22,5.0178,5.0172
2021-06-23,4.9519,4.9513
2021-06-24,4.9277,4.9271
2021-06-25,4.9206,4.92
2021-06-28,4.942,4.9414
2021-06-29,4.945,4.9444
2021-06-30,5.0022,5.0016
2021-07-01,5.0055,5.0049
2021-07-02,5.0293,5.0287
2021-07-05,5.0749,5.0743
2021-07-06,5.1645,5.1639
2021-07-07,5.2328,5.2322
2021-07-08,5.2587,5.2581
2021-07-09,5.2393,5.237
2021-07-12,5.2239,5.2233
2021-07-13,5.177,5.1764
2021-07-14,5.088,5.0874
2021-07-15,5.1,5.0994
2021-07-16,5.0941,5.0935
2021-07-19,5.1978,5.1972
2021-07-20,5.2465,5.2459
2021-07-21,5.2516,5.251
2021-07-22,5.1978,5.1972
2021-07-23,5.1701,5.1695
2021-07-26,5.1863,5.1857
2021-07-27,5.1669,5.1663
2021-07-28,5.1527,5.1521
2021-07-29,5.0682,5.0676
2021-07-30,5.1216,5.121
2021-08-02,5.1379,5.1373
2021-08-03,5.2464,5.2458
2021-08-04,5.2091,5.2085
2021-08-05,5.1464,5.1459
2021-08-06,5.241,5.2404
2021-08-09,5.2774,5.2768
2021-08-10,5.2217,5.2211
2021-08-11,5.2013,5.2007
2021-08-12,5.2351,5.2345
2021-08-13,5.2474,5.2468
2021-08-16,5.2495,5.2489
2021-08-17,5.2585,5.2579
2021-08-18,5.3025,5.3019
2021-08-19,5.418,5.4174
2021-08-20,5.4274,5.4268
2021-08-23,5.3686,5.368
2021-08-24,5.3017,5.3011
2021-08-25,5.2465,5.2459
2021-08-26,5.2429,5.2423
2021-08-27,5.22,5.2194
2021-08-30,5.1952,5.1946
2021-08-31,5.1433,5.1427
2021-09-01,5.1576,5.157
2021-09-02,5.1735,5.1729
2021-09-03,5.1685,5.1679
2021-09-06,5.1773,5.1767
2021-09-08,5.2524,5.2518
2021-09-09,5.2825,5.2819
2021-09-10,5.2158,5.2152
2021-09-13,5.219,5.2184
2021-09-14,5.226,5.2254
2021-09-15,5.2576,5.257
2021-09-16,5.2594,5.2588
2021-09-17,5.3103,5.3097
2021-09-20,5.3332,5.3326
2021-09-21,5.3044,5.3038
2021-09-22,5.2783,5.2777
2021-09-23,5.2891,5.2885
2021-09-24,5.3435,5.3429
2021-09-27,5.3478,5.3472
2021-09-28,5.4206,5.42
2021-09-29,5.4173,5.4167
2021-09-30,5.4394,5.4388
2021-10-01,5.3911,5.3905
2021-10-04,5.4204,5.4198
2021-10-05,5.4611,5.4605
2021-10-06,5.5097,5.5091
2021-10-07,5.514,5.5134
2021-10-08,5.5084,5.5078
2021-10-11,5.5161,5.5155
2021-10-13,5.5471,5.5464
2021-10-14,5.4988,5.4982
2021-10-15,5.451,5.4504
2021-10-18,5.5193,5.5187
2021-10-19,5.5521,5.5515
2021-10-20,5.5571,5.5565
2021-10-21,5.6423,5.6417
2021-10-22,5.7117,5.7111
2021-10-25,5.5973,5.5967
2021-10-26,5.58,5.5794
2021-10-27,5.5667,5.5661
2021-10-28,5.6124,5.6118
2021-10-29,5.643,5.6424
2021-11-01,5.6694,5.6688
2021-11-03,5.6672,5.6666
2021-11-04,5.5942,5.5936
2021-11-05,5.5455,5.5449
2021-11-08,5.5627,5.5621
2021-11-09,5.4957,5.4951
2021-11-10,5.459,5.4584
2021-11-11,5.4171,5.4165
2021-11-12,5.4199,5.4193
2021-11-16,5.4772,5.4766
2021-11-17,5.4993,5.4987
2021-11-18,5.547,5.5464
2021-11-19,5.5584,5.5578
2021-11-22,5.5841,5.5835
2021-11-23,5.6456,5.645
2021-11-24,5.6027,5.6021
2021-11-25,5.574,5.5734
2021-11-26,5.5865,5.5859
2021-11-29,5.6118,5.6112
2021-11-30,5.6199,5.6193
2021-12-01,5.6168,5.6162
2021-12-02,5.6345,5.6339
2021-12-03,5.6432,5.6426
2021-12-06,5.6877,5.6871
2021-12-07,5.6411,5.6405
2021-12-08,5.5779,5.5773
2021-12-09,5.5564,5.5558
2021-12-10,5.5931,5.5925
2021-12-13,5.6357,5.6351
2021-12-14,5.6461,5.6455
2021-12-15,5.7127,5.7121
2021-12-16,5.6963,5.6957
2021-12-17,5.6959,5.6953
2021-12-20,5.7055,5.7049
2021-12-21,5.7372,5.7367
2021-12-22,5.7201,5.7195
2021-12-23,5.691,5.6904
2021-12-24,5.6591,5.6541
2021-12-27,5.665,5.6644
2021-12-28,5.6438,5.6432
2021-12-29,5.6619,5.6613
