serie,safra,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Jan,Fev,Mar
Inflows Total (bi L),25/26,1.913,3.819,3.704,4.475,4.612,4.545,3.934,2.534,1.305,0.869,0.794,1.214
Inflows Total (bi L),26/27,3.278,4.292,3.796,,,,,,,,,
Outflows Total (bi L),25/26,2.788,2.987,2.798,2.941,2.946,3.101,3.058,2.704,2.971,2.854,2.45,2.794
Outflows Total (bi L),26/27,2.786,2.893,3.12,,,,,,,,,
Inflows Anhydrous (bi L),25/26,0.468,1.418,1.421,1.746,1.859,1.728,1.528,1.035,0.58,0.366,0.331,0.409
Inflows Anhydrous (bi L),26/27,0.958,1.627,1.536,,,,,,,,,
Outflows Anhydrous (bi L),25/26,0.947,1.101,1.022,1.094,1.16,1.211,1.187,1.073,1.152,1.234,1.061,1.104
Outflows Anhydrous (bi L),26/27,1.015,1.095,1.271,,,,,,,,,
Inflows Hydrous (bi L),25/26,1.445,2.401,2.283,2.729,2.752,2.817,2.406,1.499,0.725,0.503,0.464,0.805
Inflows Hydrous (bi L),26/27,2.32,2.665,2.26,,,,,,,,,
Outflows Hydrous (bi L),25/26,1.841,1.886,1.776,1.847,1.786,1.891,1.871,1.632,1.819,1.62,1.389,1.69
Outflows Hydrous (bi L),26/27,1.771,1.798,1.849,,,,,,,,,
Inflows MAPA Total (bi L) [Brazil],25/26,2.1,3.914,3.864,4.662,4.878,4.852,4.411,2.929,1.739,1.259,1.035,1.277
Inflows MAPA Total (bi L) [Brazil],26/27,3.565,4.408,4.063,5.059,,,,,,,,
Inflows MAPA Anhydrous (bi L) [Brazil],25/26,0.512,1.445,1.465,1.813,1.915,1.788,1.673,1.096,0.696,0.575,0.458,0.492
Inflows MAPA Anhydrous (bi L) [Brazil],26/27,1.028,1.654,1.577,1.911,,,,,,,,
Inflows MAPA Hydrous (bi L) [Brazil],25/26,1.588,2.47,2.398,2.85,2.963,3.064,2.737,1.834,1.042,0.684,0.576,0.785
Inflows MAPA Hydrous (bi L) [Brazil],26/27,2.537,2.755,2.486,3.148,,,,,,,,
Cane crush (Mt),25/26,34.631,90.319,81.622,100.419,98.045,87.087,65.28,34.774,8.186,1.214,0.714,8.862
Cane crush (Mt),26/27,60.413,84.267,69.791,,,,,,,,,
Sugar (Mt),25/26,1.594,5.381,5.298,7.057,7.511,6.787,4.568,1.715,0.318,0.012,0.003,0.185
Sugar (Mt),26/27,2.479,4.372,3.903,,,,,,,,,
Avg ATR (kg/t),25/26,106.2,119.9,129.1,135.5,146.0,154.8,154.1,137.2,137.2,126.1,134.2,98.8
Sugar mix (%),25/26,45.5,52.1,52.8,54.4,55.1,52.8,47.6,37.7,29.7,8.2,3.1,22.1
Avg ATR (kg/t),26/27,111.9,123.9,130.7,,,,,,,,,
Sugar mix (%),26/27,38.5,43.9,44.9,,,,,,,,,
Rainfall CS (mm),25/26,,,,,,,,,,,,
Rainfall CS (mm),26/27,,,,,,,,,,,,
Rainfall SP benchmark (mm),26/27,,,,,,,,,,,,
"Net (inflows − outflows, bi L)",25/26,-0.875,0.832,0.906,1.534,1.666,1.443,0.876,-0.17,-1.666,-1.985,-1.656,-1.58
Stock accumulated (bi L),25/26,-0.875,-0.043,0.864,2.397,4.063,5.506,6.382,6.212,4.545,2.56,0.904,-0.676
"Net (inflows − outflows, bi L)",26/27,0.492,1.399,0.675,,,,,,,,,
Stock accumulated (bi L),26/27,-0.184,1.215,1.89,,,,,,,,,
